"Fecha","contactos_mensajes","seguidores","alcance","clic_en_enlace","interacciones","visitas"
"1/01/2024",0,0,104,0,0,4
"2/01/2024",0,0,26,0,0,1
"3/01/2024",2,0,109,0,0,7
"4/01/2024",3,0,114,0,0,22
"5/01/2024",1,0,32,0,0,4
"6/01/2024",0,0,19,0,0,4
"7/01/2024",0,0,14,0,0,3
"8/01/2024",0,0,15,0,0,9
"9/01/2024",0,0,62,0,0,5
"10/01/2024",2,0,88,0,0,5
"11/01/2024",1,0,73,0,0,6
"12/01/2024",2,0,95,0,0,5
"13/01/2024",2,0,46,0,0,9
"14/01/2024",0,0,32,0,0,10
"15/01/2024",0,0,110,0,0,4
"16/01/2024",0,0,51,0,0,11
"17/01/2024",0,0,70,0,0,6
"18/01/2024",1,0,40,0,0,3
"19/01/2024",1,0,57,0,0,10
"20/01/2024",1,0,81,0,0,14
"21/01/2024",0,0,29,0,0,5
"22/01/2024",1,0,64,0,0,9
"23/01/2024",0,0,68,0,0,1
"24/01/2024",2,0,24,0,0,8
"25/01/2024",1,0,37,0,0,6
"26/01/2024",2,0,52,0,0,8
"27/01/2024",0,0,17,0,0,2
"28/01/2024",1,0,50,0,0,4
"29/01/2024",1,0,33,0,0,13
"30/01/2024",1,0,72,0,0,7
"31/01/2024",1,0,135,0,0,7
"1/02/2024",2,0,49,0,0,6
"2/02/2024",0,0,34,0,0,10
"3/02/2024",1,0,10,0,0,2
"4/02/2024",1,0,33,0,0,4
"5/02/2024",1,0,64,0,0,4
"6/02/2024",1,0,6,0,0,1
"7/02/2024",0,0,47,0,0,1
"8/02/2024",0,0,24,0,0,1
"9/02/2024",1,0,40,0,0,4
"10/02/2024",0,0,50,0,0,2
"11/02/2024",1,0,43,0,0,1
"12/02/2024",0,0,24,0,0,2
"13/02/2024",0,0,37,0,0,8
"14/02/2024",4,0,209,0,0,5
"15/02/2024",0,0,144,0,0,9
"16/02/2024",6,1,63,0,0,13
"17/02/2024",0,2,117,0,0,7
"18/02/2024",1,1,124,0,0,5
"19/02/2024",1,0,80,0,0,3
"20/02/2024",1,1,262,0,0,7
"21/02/2024",0,1,86,0,0,2
"22/02/2024",0,2,59,0,0,7
"23/02/2024",0,2,65,0,0,8
"24/02/2024",0,0,21,0,0,2
